,,,,,,,,,,,,,,,,,,,,,,,,,
Retail Operation Store Visit Check List,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Store,,LUSH SGCT,,,KPI score board ,Staff,Good,,,,,,,,,,,,,,,,,,
Visit Date,,6/29/2026,,,,VMD ,Good,,,,,,,,,,,,,,,,,,
Visit Time,,13h30,,,,Storeroom,Good,,,,,,,,,,,,,,,,,,
OE,,,,,,Tester ,Good,,,,,,,,,,,,,,,,,,
No of Staff on duty,,4,,,,Stock,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Tracking new product knowlegde of staff,,,,,,,,,,,,,,,,,,,,,,,,,
Staff,,Product,Scored,,,Remark,,,,,,,,,,,,,,,,,,,
,,,1,2,3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Summary,0,Poor,,,,,,,,,,,,,,,,,,,,
VM,,,,,1,,2,,3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Nhìn chung, t?ng quan shop, sàn nhà có s?ch s? không?",,,,,,,,3,,,,,,,,,,,,,,,,
2,Khu v?c k? tr?ng bày bath bomb/bubble bars có s?ch s? không?,,,,,,2,,,,,,,,,,,,,,,,,,
3,"T?t c? s?n ph?m ph?i không có b?i, ??c bi?t là các s?n ph?m không bao bì.",,,,,,2,,,,,,,,,,,,,,,,,,
4,"T?t c? các k? tr?ng bày không có b?i, ??c bi?t là các k? ?en",,,,,,,,3,,,,,,,,,,,,,,,,
5,"Các v?t trang trí nh? ch?u cây, bình hoa có ???c v? sinh th??ng xuyên và ??t ?úng v? trí ch?a?",,,,,,,,3,,,,,,,,,,,,,,,,
6,Các b??c trong routine ?ã ???c s?p x?p h?p lý ?? d? dàng liên k?t v?i vi?c bán hàng ch?a?,,,,,,,,3,,,,,,,,,,,,,,,,
7,"Các s?n ph?m bán ch?y nh?t ?ã ???c tr?ng bày theo b? c?c tam giác, v?i màu s?c ph?i h?p theo bánh xe màu ch?a?",,,,,,,,3,,,,,,,,,,,,,,,,
8,Các thi?t b? c?n s?a ch?a t?i c?a hàng ?ã ???c báo cáo ch?a?,,,,,,,,3,,,,,,,,,,,,,,,,
9,??m b?o t?t c? TV luôn ???c b?t và phát ?úng n?i dung video h?ng tháng.,,,,,,,,3,,,,,,,,,,,,,,,,
10,"??m b?o các s?n ph?m g?n h?t h?n luôn ???c tr?ng bày theo nguyên t?c FIFO, ??ng th?i tránh ho?c gi?m thi?u vi?c tr?ng bày các s?n ph?m còn h?n s? d?ng quá xa.",,,,,,,,3,,,,,,,,,,,,,,,,
11,Các h?p quà Knot Wrap ?ã ???c gói theo ?úng h??ng d?n c?a LUSH ch?a?,,,,,,,,3,,,,,,,,,,,,,,,,
